"Date","Price","Open","High","Low","Vol.","Change %"
"01-12-2023","12,590.00","12,846.00","12,940.00","12,516.00","1.29K","-1.61%"
"30-11-2023","12,796.00","12,990.00","12,992.00","12,590.00","1.50K","-0.88%"
"29-11-2023","12,910.00","13,158.00","13,346.00","12,810.00","2.55K","-2.45%"
"28-11-2023","13,234.00","13,046.00","13,526.00","12,900.00","3.47K","2.89%"
"24-11-2023","12,862.00","12,580.00","12,924.00","12,424.00","3.14K","3.49%"
"23-11-2023","12,428.00","12,284.00","12,580.00","12,114.00","2.03K","0.73%"
"22-11-2023","12,338.00","12,314.00","12,680.00","12,010.00","2.54K","0.00%"
"21-11-2023","12,338.00","12,450.00","12,840.00","12,102.00","3.59K","-1.26%"
"20-11-2023","12,496.00","12,590.00","12,800.00","12,360.00","2.38K","-1.59%"
"17-11-2023","12,698.00","13,360.00","13,420.00","12,616.00","4.79K","-5.38%"
"16-11-2023","13,420.00","13,430.00","13,486.00","13,244.00","0.91K","-0.77%"
"15-11-2023","13,524.00","13,658.00","13,800.00","13,404.00","1.23K","-0.03%"
"13-11-2023","13,528.00","13,598.00","13,658.00","13,488.00","0.79K","-0.04%"
"12-11-2023","13,534.00","13,598.00","13,650.00","13,530.00","0.33K","0.18%"
"10-11-2023","13,510.00","13,560.00","13,720.00","13,414.00","1.31K","0.03%"
"09-11-2023","13,506.00","13,424.00","13,550.00","13,232.00","1.48K","0.21%"
"08-11-2023","13,478.00","13,722.00","13,726.00","13,406.00","1.93K","-1.71%"
"07-11-2023","13,712.00","13,906.00","13,960.00","13,654.00","1.09K","-1.71%"
"06-11-2023","13,950.00","13,990.00","14,298.00","13,622.00","4.50K","0.75%"
"03-11-2023","13,846.00","13,510.00","13,988.00","13,510.00","1.70K","1.66%"
"02-11-2023","13,620.00","14,140.00","14,140.00","13,528.00","2.71K","-2.95%"
"01-11-2023","14,034.00","13,682.00","14,132.00","13,470.00","4.26K","4.54%"
"31-10-2023","13,424.00","13,700.00","13,720.00","13,300.00","1.50K","-2.07%"
"30-10-2023","13,708.00","13,570.00","13,908.00","13,370.00","3.14K","1.33%"
"27-10-2023","13,528.00","13,190.00","13,800.00","12,950.00","4.65K","3.33%"
"26-10-2023","13,092.00","13,270.00","13,432.00","12,960.00","2.89K","-0.91%"
"25-10-2023","13,212.00","13,590.00","13,590.00","12,854.00","2.95K","0.32%"
"23-10-2023","13,170.00","13,890.00","13,890.00","12,970.00","3.46K","-0.35%"
"20-10-2023","13,216.00","13,808.00","13,808.00","13,808.00","0.01K","0.00%"
"19-10-2023","13,216.00","13,302.00","13,302.00","12,960.00","0.06K","-3.48%"
"18-10-2023","13,692.00","13,612.00","13,800.00","13,600.00","0.06K","4.60%"
"17-10-2023","13,090.00","12,972.00","13,208.00","12,972.00","0.02K","3.07%"
"16-10-2023","12,700.00","12,358.00","13,066.00","12,104.00","2.82K","-1.34%"
"13-10-2023","12,872.00","12,780.00","13,100.00","12,722.00","1.81K","-0.63%"
"12-10-2023","12,954.00","12,988.00","13,192.00","12,550.00","1.41K","0.26%"
"11-10-2023","12,920.00","12,920.00","13,270.00","12,800.00","2.47K","-2.97%"
"10-10-2023","13,316.00","13,560.00","14,120.00","13,004.00","3.95K","-3.17%"
"09-10-2023","13,752.00","14,010.00","14,344.00","13,628.00","3.54K","-4.66%"
"06-10-2023","14,424.00","14,614.00","15,114.00","14,066.00","4.62K","-0.76%"
"05-10-2023","14,534.00","14,276.00","14,600.00","14,132.00","5.44K","2.48%"
"04-10-2023","14,182.00","13,998.00","14,462.00","13,756.00","4.28K","1.98%"
"03-10-2023","13,906.00","14,198.00","14,198.00","13,528.00","4.55K","-0.83%"
"29-09-2023","14,022.00","13,700.00","14,178.00","13,472.00","3.87K","4.83%"
"28-09-2023","13,376.00","13,290.00","13,500.00","12,772.00","3.60K","2.26%"
"27-09-2023","13,080.00","13,560.00","13,736.00","12,922.00","3.89K","-4.39%"
"26-09-2023","13,680.00","14,008.00","14,084.00","13,560.00","2.82K","-2.83%"
"25-09-2023","14,078.00","14,350.00","14,474.00","13,984.00","1.93K","-2.09%"
"22-09-2023","14,378.00","14,364.00","14,620.00","14,040.00","1.72K","-0.39%"
"21-09-2023","14,434.00","14,992.00","14,992.00","14,158.00","3.42K","-3.63%"
"20-09-2023","14,978.00","15,524.00","15,700.00","14,686.00","5.25K","-4.12%"
"18-09-2023","15,622.00","15,680.00","15,800.00","15,138.00","4.17K","0.21%"
"15-09-2023","15,590.00","15,100.00","15,718.00","15,100.00","7.60K","5.12%"
"14-09-2023","14,830.00","13,958.00","14,830.00","13,776.00","5.45K","5.99%"
"13-09-2023","13,992.00","13,750.00","14,098.00","13,750.00","2.79K","2.24%"
"12-09-2023","13,686.00","13,970.00","14,264.00","13,556.00","4.12K","-3.07%"
"11-09-2023","14,120.00","14,848.00","14,848.00","14,030.00","4.38K","-4.65%"
"08-09-2023","14,808.00","14,762.00","14,940.00","14,570.00","2.28K","0.71%"
"07-09-2023","14,704.00","15,010.00","15,090.00","14,534.00","5.60K","-2.69%"
"06-09-2023","15,110.00","15,190.00","15,300.00","14,880.00","1.69K","0.41%"
"05-09-2023","15,048.00","15,200.00","15,300.00","14,940.00","1.98K","-0.92%"
"04-09-2023","15,188.00","15,140.00","15,350.00","14,666.00","3.53K","0.49%"
"01-09-2023","15,114.00","15,100.00","15,578.00","14,830.00","5.09K","0.19%"
"31-08-2023","15,086.00","14,626.00","15,284.00","14,432.00","5.14K","4.34%"
"30-08-2023","14,458.00","14,100.00","14,632.00","13,810.00","5.43K","1.16%"
"29-08-2023","14,292.00","14,910.00","15,020.00","14,292.00","7.22K","-6.00%"
"28-08-2023","15,204.00","16,154.00","16,550.00","15,204.00","6.65K","-6.00%"
"25-08-2023","16,174.00","16,140.00","16,528.00","15,964.00","3.09K","0.58%"
"24-08-2023","16,080.00","16,288.00","16,392.00","16,002.00","3.11K","-0.56%"
"23-08-2023","16,170.00","16,290.00","16,380.00","15,552.00","5.54K","0.04%"
"22-08-2023","16,164.00","15,972.00","16,560.00","15,972.00","5.54K","1.04%"
"21-08-2023","15,998.00","16,390.00","16,720.00","15,880.00","5.34K","8.09%"
"18-08-2023","14,800.00","14,800.00","14,800.00","14,800.00","0.01K","0.86%"
"17-08-2023","14,674.00","14,800.00","14,800.00","14,562.00","0.06K","-0.96%"
"16-08-2023","14,816.00","14,980.00","14,990.00","13,988.00","0.14K","2.77%"
"14-08-2023","14,416.00","14,416.00","14,416.00","14,416.00","","-1.92%"
"11-08-2023","14,698.00","15,002.00","15,464.00","14,364.00","2.42K","-3.06%"
"10-08-2023","15,162.00","15,302.00","15,540.00","15,002.00","2.14K","-1.84%"
"09-08-2023","15,446.00","16,200.00","16,298.00","15,314.00","5.23K","-3.58%"
"08-08-2023","16,020.00","15,584.00","16,280.00","14,984.00","6.07K","4.26%"
"07-08-2023","15,366.00","15,580.00","15,580.00","14,516.00","5.07K","1.63%"
"04-08-2023","15,120.00","15,700.00","16,668.00","14,984.00","10.34K","-5.14%"
"03-08-2023","15,940.00","15,700.00","16,054.00","15,200.00","7.04K","2.48%"
"02-08-2023","15,554.00","15,166.00","15,790.00","14,888.00","8.10K","3.03%"
